Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C8, C9",0603,6,10uF,C96446
"C12, C18",0805,2,22uF,C45783
"C13, C15, C16, C17, C3, C5",0402,6,100nF,C1525
"C14, C4",0402,2,2.2uF,C12530
"C6, C7",1206,2,4.7nF 2kV,C41017
D1,SOT-666-6_L1.6-W1.2-P0.50-LS1.6-BL,1,USBLC6-2P6_C2827693,C2827693
"D12, D13, D14, D15, D2, D3, D4, D5, D6, D7, D8, D9",DFN1006-2L-BI,12,JEN1006-3.3V-ULC,C2982301
F2,1206,1,Polyfuse,C2153797
"R1, R2",0402,2,2k,C4109
"R10, R11",0402,2,5.1k,C25905
"R3, R4",0402,2,10k,C25744
"R5, R7",1206,2,1M,C17927
R6,0402,1,4.7k,C25900
RF1,ANT-TH_KH-BNC75-3511,1,KH-BNC75-3511,C2837588
"SW1, SW2",SW-SMD_4P-L4.2-W3.2-P2.15-LS4.5,2,GT-TC048D-H025-L1,C843674
U13,USB-C-SMD_GT-USB-7010I,1,GT-USB-7010I,C5362630
U2,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR-1,1,HE2028A33FR,C5199431
U3,TSSOP-16_L5.0-W4.4-P0.65-LS6.4-BL,1,LMP91200MTX/NOPB,C2678419
U4,SOT-23-6,1,MCP3421A0T-ECH,C29454
U5,SOT-23-6,1,REF35205QDBVR,C6966710
U6,BULETM-SMD_ESP32-S3-MINI-1-N8,1,ESP32-S3-MINI-1-N8,C2913206
